g,b,exp_val
"[2.3704744567995713, 1.9135155253683285]","[1.9706353917972337, 2.713193655373003]",8.390273671174388
"[0.8282380632191273, 2.941673121088624]","[2.113435057869497, 3.141592653589793]",8.75710757302672
"[2.6560737889440977, 2.9987929875175294]","[2.713193655373003, 1.028157595720296]",8.457873335566406
"[2.770313521801908, 2.541834056086287]","[2.199114857512855, 2.227674790727308]",8.429994931266899
"[1.5707963267948966, 1.5422363935804437]","[0.37127913178788463, 0.8853579296480326]",8.281238383389905
"[0.5426387310746006, 2.970233054303077]","[1.9706353917972337, 0.514078797860148]",8.702609516157365
"[2.6560737889440977, 2.1705549242984024]","[1.7992757925105178, 2.3133545903706656]",7.919454158538356
"[2.4847141896573817, 1.6279161932238018]","[2.713193655373003, 0.34271919857343197]",8.105361185292963
"[1.942075458582781, 1.1995171950070118]","[1.456556593937086, 1.8278357257249704]",8.479302192444717
"[1.7992757925105178, 1.8849555921538759]","[2.541834056086287, 2.056315191440592]",8.49797001256412
"[0.9995976625058433, 1.6850360596527072]","[2.541834056086287, 0.9424777960769379]",7.973924648095916
"[0.9995976625058433, 0.8282380632191273]","[2.941673121088624, 0.5426387310746006]",7.563493683110145
"[0.7711181967902219, 2.027755258226139]","[1.113837395363654, 3.1130327203753403]",4.053758359236157
"[0.7711181967902219, 0.514078797860148]","[0.514078797860148, 0.3998390650023373]",7.952623208035559
"[2.3133545903706656, 1.942075458582781]","[1.113837395363654, 0.9139178628624852]",8.648473006159977
"[2.770313521801908, 1.5422363935804437]","[1.8278357257249704, 0.8853579296480326]",8.278362028646447
"[2.827433388230814, 0.3998390650023373]","[0.45695893143124267, 0.6283185307179586]",8.266778810886395
"[2.2562347239417604, 2.941673121088624]","[2.827433388230814, 1.9135155253683285]",7.087146164776637
"[2.541834056086287, 1.9135155253683285]","[0.9424777960769379, 0.7711181967902219]",8.310067485122643
"[2.941673121088624, 0.6283185307179586]","[2.5989539225151925, 0.3998390650023373]",8.081421703177783
"[1.7421559260816124, 2.027755258226139]","[2.713193655373003, 0.45695893143124267]",9.110110780174777
"[3.1130327203753403, 1.6279161932238018]","[1.8849555921538759, 0.9424777960769379]",8.249576860740543
"[1.7135959928671598, 2.884553254659719]","[2.3990343900140236, 0.34271919857343197]",8.734649266188375
"[0.3998390650023373, 0.8567979964335799]","[2.3704744567995713, 1.942075458582781]",10.067147871454637
"[0.514078797860148, 1.0567175289347486]","[2.4847141896573817, 0.8567979964335799]",6.081136237122257
"[2.827433388230814, 0.5426387310746006]","[0.45695893143124267, 1.7992757925105178]",8.48447292766865
"[2.5703939893007397, 1.3423168610792753]","[1.3708767942937279, 2.027755258226139]",8.55043995107601
"[0.7711181967902219, 1.3137569278648225]","[3.0273529207319823, 0.9424777960769379]",9.412190924118258
"[2.5989539225151925, 1.5993562600093492]","[3.0273529207319823, 1.427996660722633]",7.970246152019798
"[2.3419145235851184, 2.7417535885874558]","[0.8853579296480326, 1.0567175289347486]",7.949616091618589
"[0.599758597503506, 1.5993562600093492]","[1.0852774621492012, 0.6568784639324112]",8.779177070010729
"[2.9987929875175294, 2.3419145235851184]","[2.3990343900140236, 0.48551886464569527]",8.13572089418473
"[0.5426387310746006, 1.3994367275081805]","[0.5711986642890533, 1.1709572617925592]",5.217136395937566
"[1.6850360596527072, 2.713193655373003]","[1.6279161932238018, 2.6560737889440977]",8.019546886335835
"[0.37127913178788463, 1.456556593937086]","[2.2847946571562128, 3.0273529207319823]",7.220628402177215
"[2.884553254659719, 2.227674790727308]","[2.913113187874172, 2.227674790727308]",6.644088007049013
"[2.941673121088624, 2.541834056086287]","[1.7992757925105178, 1.7135959928671598]",7.205847748179301
"[1.7992757925105178, 2.5132741228718345]","[2.3704744567995713, 2.2562347239417604]",7.675755549512511
"[0.7425582635757693, 2.1419949910839495]","[1.113837395363654, 1.028157595720296]",6.8043532894215
"[1.7992757925105178, 2.855993321445266]","[2.6846337221585506, 0.3998390650023373]",8.653181463393905
"[2.541834056086287, 0.34271919857343197]","[2.713193655373003, 2.456154256442929]",8.497197041047128
"[1.3994367275081805, 1.2851969946503699]","[1.3994367275081805, 0.8853579296480326]",8.511621657723913
"[0.3998390650023373, 0.9995976625058433]","[0.6283185307179586, 1.7707158592960652]",10.2223288152101
"[0.9139178628624852, 2.884553254659719]","[1.6279161932238018, 1.9706353917972337]",8.486853224353412
"[2.855993321445266, 1.4851165271515385]","[0.7139983303613167, 1.8278357257249704]",8.371387940222084
"[1.1423973285781064, 2.770313521801908]","[1.5422363935804437, 2.0848751246550443]",8.139969731599848
"[2.6846337221585506, 2.2847946571562128]","[1.9706353917972337, 0.7139983303613167]",8.153657607485927
"[0.42839899821678995, 0.6283185307179586]","[2.5132741228718345, 2.113435057869497]",9.61936271535891
"[1.0852774621492012, 0.6568784639324112]","[0.48551886464569527, 2.884553254659719]",8.54188155086399
"[0.45695893143124267, 2.3990343900140236]","[2.1419949910839495, 1.0567175289347486]",8.661067166363042
"[2.2847946571562128, 1.1709572617925592]","[2.7417535885874558, 1.9991953250116865]",8.054942547034761
"[0.3998390650023373, 1.028157595720296]","[1.2280771282214644, 1.7421559260816124]",6.348569469065199
"[2.627513855729645, 0.8282380632191273]","[1.0567175289347486, 0.9139178628624852]",8.098260693717183
"[2.5132741228718345, 2.798873455016361]","[2.541834056086287, 0.599758597503506]",8.105320763085468
"[0.6854383971468639, 1.5993562600093492]","[1.7135959928671598, 0.599758597503506]",8.261380003471423
"[1.6279161932238018, 2.3133545903706656]","[2.3133545903706656, 2.5703939893007397]",7.3546529914395276
"[1.7992757925105178, 1.427996660722633]","[1.5136764603659911, 1.113837395363654]",8.303161498151416
"[2.5989539225151925, 2.3990343900140236]","[1.028157595720296, 2.9987929875175294]",8.330540731577566
"[0.42839899821678995, 2.027755258226139]","[1.4851165271515385, 2.541834056086287]",8.039755721041798
"[0.6568784639324112, 2.5703939893007397]","[2.4275943232284765, 1.2851969946503699]",6.342839805410641
"[2.027755258226139, 1.3423168610792753]","[2.713193655373003, 1.3994367275081805]",9.11762513480909
"[3.0844727871608875, 1.5422363935804437]","[2.1419949910839495, 2.227674790727308]",8.25778982534705
"[0.599758597503506, 3.0273529207319823]","[0.3141592653589793, 1.6279161932238018]",10.32281521484012
"[1.8278357257249704, 1.5422363935804437]","[2.1705549242984024, 0.48551886464569527]",8.45713551659976
"[0.8853579296480326, 2.855993321445266]","[2.2562347239417604, 1.5707963267948966]",7.118303584789858
"[0.7996781300046746, 1.4851165271515385]","[2.3133545903706656, 1.1995171950070118]",5.335722785977822
"[2.5132741228718345, 2.1419949910839495]","[2.3990343900140236, 1.3137569278648225]",8.574972667627732
"[2.4275943232284765, 1.7707158592960652]","[2.1705549242984024, 1.1995171950070118]",8.600815463191674
"[2.1705549242984024, 1.7707158592960652]","[1.0567175289347486, 1.2566370614359172]",8.755740418691044
"[0.45695893143124267, 3.141592653589793]","[1.8278357257249704, 1.9991953250116865]",8.952041604925942
"[1.2566370614359172, 2.5989539225151925]","[2.4275943232284765, 2.541834056086287]",7.85994161811667
"[1.5707963267948966, 2.199114857512855]","[1.942075458582781, 2.3133545903706656]",8.136279093665056
"[0.6854383971468639, 2.199114857512855]","[0.8853579296480326, 1.2851969946503699]",7.1576110234077195
"[1.6850360596527072, 2.0848751246550443]","[1.9706353917972337, 2.5989539225151925]",7.939425787586107
"[0.7996781300046746, 0.34271919857343197]","[2.9987929875175294, 0.3998390650023373]",8.766463590617471
"[1.113837395363654, 2.6846337221585506]","[2.9987929875175294, 2.913113187874172]",7.700998136815793
"[1.5707963267948966, 0.3141592653589793]","[1.7992757925105178, 0.5711986642890533]",8.310719081242631
"[3.1130327203753403, 2.5989539225151925]","[0.7425582635757693, 2.627513855729645]",8.31173852866552
