g1,g2,b1,b2,exp_val
"[0.50378693003512, 1.531172635668539]","[0.45340823703160793, 0.2812653122493204]",10.097726711066644
"[1.4646614398492954, 1.4349436715045272]","[0.7680392129992344, 0.5488824642217842]",8.172012348882237
"[1.0613488694560114, 0.9679501689438822]","[0.40350125463674313, 0.7217486786039974]",7.691030315373294
"[1.5127759219313013, 0.7486047359229733]","[0.24076109465348805, 0.6638855106099512]",8.102549990098844
"[0.3226500563146274, 1.0019133327664747]","[0.2262953026549765, 0.21761582745586955]",10.180592263842989
"[0.5349198302058297, 1.0245554419815361]","[0.06789488027127491, 0.08019080347000973]",9.032396374889315
"[0.6707724854961991, 0.9905922781589438]","[0.6009593154164259, 0.5850469442180631]",8.49614573722446
"[1.2962607525622751, 0.5773737849840701]","[0.6675019586095791, 0.5170577218250588]",7.002555787006291
"[0.5717132576803048, 1.4292831442007619]","[0.6617156418101744, 0.5568386498209656]",7.654762098854802
"[0.3424619018778063, 1.202862052050146]","[0.574920889819105, 0.23786793625378574]",10.28043023050993
"[0.5136928528167095, 0.4047277022192256]","[0.2986242626475343, 0.5040385090263985]",7.574632147615378
"[1.5637206676651898, 0.4655783707347036]","[0.3738463810397944, 0.5843236546181375]",8.254428912491473
"[0.25755399232132536, 1.2439008750024452]","[0.06283185307179587, 0.46064113303086374]",8.477537539931959
"[1.4207923532451137, 0.20519411476149552]","[0.6638855106099512, 0.5271837762240169]",7.180187488611315
"[1.2453160068283866, 0.16840068728702046]","[0.33695861144358996, 0.12792791706509787]",8.646153909382601
"[0.6028461578510144, 0.9085146322543456]","[0.6552060354108442, 0.22484872345512533]",9.778835354428606
"[1.0047435964183573, 0.3283105836183928]","[0.7694857921990855, 0.3253859778447806]",5.601738822710781
"[0.2915171561439177, 1.3146574662995125]","[0.7007732802061556, 0.10912238746703286]",8.992912912718484
"[0.17547634641672719, 0.747189604097032]","[0.3890354626382315, 0.3702299330401665]",10.061973844697228
"[0.32689545179245144, 0.8306823818275715]","[0.7318747330029555, 0.2675228098507344]",10.170422633746982
"[0.9821014872032957, 0.26887504692885617]","[0.35070111384217595, 0.08742369946926552]",9.358723821239526
"[1.2948456207363337, 1.4844732854124745]","[0.6544827458109186, 0.4881261378280357]",8.221426760564013
"[0.975025828073589, 0.9085146322543456]","[0.6313374786133001, 0.5358632514231239]",8.727656574236413
"[0.5660527303765392, 1.0514429466744217]","[0.4454520514324266, 0.26824609945066]",10.459762871565584
"[1.0344613647631258, 0.7486047359229733]","[0.2096596418566882, 0.5206741698246867]",8.080357068972457
"[1.5523996130576592, 0.9085146322543456]","[0.49680561302714266, 0.2262953026549765]",8.13292164315644
"[0.7188869675782049, 0.15990989633137234]","[0.3036872898470133, 0.3666134850405386]",7.81134012359245
"[1.5099456582794186, 0.8688909411279878]","[0.19953358745773012, 0.07802093467023301]",8.29416820539473
"[0.4047277022192256, 0.312744133533038]","[0.09321001626867015, 0.7456172354015415]",6.020368459700836
"[1.149087042664375, 1.1179541424936652]","[0.08308396186971205, 0.7427240770018392]",8.142388348542267
